b,accuracy,f1,precision,recall,yes_rate
-2.7400000000000695,0.7312222222222222,0.6345369391146699,0.9910335063709297,0.4666666666666667,0.23544444444444446
-2.72000000000007,0.7324444444444445,0.6369119420989143,0.9906191369606003,0.4693333333333333,0.2368888888888889
-2.7000000000000703,0.7334444444444445,0.638759223008583,0.9906585707613265,0.4713333333333333,0.2378888888888889
-2.6800000000000708,0.7347777777777778,0.6412144897038929,0.990710636321412,0.474,0.23922222222222222
-2.660000000000071,0.736,0.6435643564356436,0.9903047091412742,0.4766666666666667,0.24066666666666667
-2.6400000000000716,0.7378888888888889,0.6471204188481676,0.9899313501144165,0.4806666666666667,0.2427777777777778
-2.620000000000072,0.7398888888888889,0.6507533940026853,0.9900136177939174,0.4846666666666667,0.2447777777777778
-2.6000000000000725,0.7411111111111112,0.6530673019654556,0.9896209386281588,0.48733333333333334,0.24622222222222223
-2.580000000000073,0.7424444444444445,0.6554696789536266,0.9896768402154399,0.49,0.24755555555555556
-2.5600000000000733,0.7451111111111111,0.6602488151658769,0.9897868561278863,0.49533333333333335,0.25022222222222223
-2.5400000000000738,0.7461111111111111,0.6620322437509244,0.9898275099513489,0.49733333333333335,0.25122222222222224
-2.520000000000074,0.7471111111111111,0.663810930576071,0.9898678414096916,0.49933333333333335,0.25222222222222224
-2.5000000000000746,0.7481111111111111,0.6655848945272164,0.9899078543220711,0.5013333333333333,0.25322222222222224
-2.480000000000075,0.7497777777777778,0.6685310568148366,0.9899738448125545,0.5046666666666667,0.2548888888888889
-2.4600000000000755,0.7501111111111111,0.6691187288509637,0.9899869394862865,0.5053333333333333,0.25522222222222224
-2.440000000000076,0.7513333333333333,0.6713656387665198,0.9896103896103896,0.508,0.25666666666666665
-2.4200000000000763,0.7533333333333333,0.6748681898066784,0.9896907216494846,0.512,0.25866666666666666
-2.4000000000000767,0.7543333333333333,0.676612549363756,0.9897304236200257,0.514,0.25966666666666666
-2.380000000000077,0.756,0.679509632224168,0.9897959183673469,0.5173333333333333,0.2613333333333333
-2.3600000000000776,0.7578888888888888,0.6828700334740212,0.9894559257697174,0.5213333333333333,0.2634444444444444
-2.340000000000078,0.7593333333333333,0.685540069686411,0.9886934673366834,0.5246666666666666,0.2653333333333333
-2.3200000000000784,0.7603333333333333,0.6872553284036537,0.9887359198998749,0.5266666666666666,0.2663333333333333
-2.300000000000079,0.7616666666666667,0.6895353886235346,0.9887920298879203,0.5293333333333333,0.26766666666666666
-2.2800000000000793,0.7645555555555555,0.6948005185078496,0.9873106835857552,0.536,0.27144444444444443
-2.2600000000000797,0.7665555555555555,0.6981755494900159,0.987403494514425,0.54,0.27344444444444443
-2.24000000000008,0.7672222222222222,0.6992966843691689,0.9874341305229023,0.5413333333333333,0.27411111111111114
-2.2200000000000806,0.7682222222222223,0.7009747706422018,0.9874798061389337,0.5433333333333333,0.2751111111111111
-2.200000000000081,0.77,0.7041166380789022,0.9867788461538461,0.5473333333333333,0.2773333333333333
-2.1800000000000814,0.7708888888888888,0.7056808449900086,0.9864325618515563,0.5493333333333333,0.27844444444444444
-2.160000000000082,0.7728888888888888,0.7089977220956719,0.9865293185419969,0.5533333333333333,0.28044444444444444
-2.1400000000000823,0.7732222222222223,0.7095488828803188,0.9865453106450336,0.554,0.2807777777777778
-2.1200000000000827,0.7735555555555556,0.7103467879476977,0.985410094637224,0.5553333333333333,0.2817777777777778
-2.100000000000083,0.7742222222222223,0.7114456120420336,0.9854445318646735,0.5566666666666666,0.28244444444444444
-2.0800000000000836,0.7758888888888889,0.7141844976618961,0.9855299178725069,0.56,0.2841111111111111
-2.060000000000084,0.7778888888888889,0.7176952407851999,0.9845021309569935,0.5646666666666667,0.2867777777777778
-2.0400000000000844,0.7782222222222223,0.7182382834556746,0.9845201238390093,0.5653333333333334,0.2871111111111111
-2.020000000000085,0.7788888888888889,0.7193229901269393,0.9845559845559846,0.5666666666666667,0.2877777777777778
-2.0000000000000853,0.7795555555555556,0.7204058624577225,0.9845916795069337,0.568,0.28844444444444445
-1.9800000000000857,0.7807777777777778,0.7226985242445537,0.9831739961759082,0.5713333333333334,0.29055555555555557
-1.9600000000000861,0.7814444444444445,0.7237747507372561,0.9832125143075162,0.5726666666666667,0.2912222222222222
-1.9400000000000865,0.7824444444444445,0.7253856942496494,0.9832699619771863,0.5746666666666667,0.2922222222222222
-1.920000000000087,0.7828888888888889,0.7262538526197814,0.9825625473843821,0.576,0.2931111111111111
-1.9000000000000874,0.7847777777777778,0.7293558753667738,0.9823108769288671,0.58,0.2952222222222222
-1.8800000000000878,0.7854444444444444,0.7304202149937178,0.9823507322568532,0.5813333333333334,0.29588888888888887
-1.8600000000000882,0.7857777777777778,0.7309517164387385,0.9823705926481621,0.582,0.2962222222222222
-1.8400000000000887,0.787,0.7329711659005432,0.9820828667413214,0.5846666666666667,0.2976666666666667
-1.820000000000089,0.789,0.736140058357649,0.982202447163515,0.5886666666666667,0.2996666666666667
-1.8000000000000895,0.7898888888888889,0.7376162064659357,0.9818987809383081,0.5906666666666667,0.30077777777777776
-1.78000000000009,0.7921111111111111,0.7411813528842163,0.9816782704287285,0.5953333333333334,0.3032222222222222
-1.7600000000000904,0.7934444444444444,0.7434800607147786,0.9807062249726974,0.5986666666666667,0.30522222222222223
-1.7400000000000908,0.7951111111111111,0.7460754613054255,0.9808110065170167,0.602,0.3068888888888889
-1.7200000000000912,0.7954444444444444,0.7465932553337922,0.9808318264014466,0.6026666666666667,0.30722222222222223
